Time_period,Country,Region,Total area of the country (1000 ha),% of total country area cultivated (%),Total population (1000 inhab),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Surface water: entering the country (total) (10^9 m3/year),Surface water: leaving the country to other countries (total) (10^9 m3/year),Surface water: total external renewable (10^9 m3/year),Groundwater: entering the country (total) (10^9 m3/year),Groundwater: leaving the country to other countries (total) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable surface water (10^9 m3/year),Total renewable groundwater (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total exploitable water resources (10^9 m3/year),Interannual variability (WRI) (-),Seasonal variability (WRI) (-),Total dam capacity (km3),Irrigation potential (1000 ha),Area equipped for irrigation: total (1000 ha),Area equipped for irrigation: actually irrigated (1000 ha),% of the cultivated area equipped for irrigation (%),% of irrigation potential equipped for irrigation (%),Flood recession cropping area non-equipped (1000 ha),Cultivated wetlands and inland valley bottoms non-equipped (1000 ha),% of agricultural water managed area equipped for irrigation (%),% of area equipped for irrigation by surface water (%),% of area equipped for irrigation by groundwater  (%),Total harvested irrigated crop area (full control irrigation) (1000 ha),Irrigated cropping intensity (%),% of total grain production irrigated (%),Area salinized by irrigation (1000 ha),Area waterlogged by irrigation (1000 ha),Flood occurrence (WRI) (-),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),Population affected by water related disease (1000 inhab)
1978-1982,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,15.77,15596,14600,996.5,106,153.6,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,,,,2178,583.9,,25.16,26.81,,,100,,,,,,,,,,,
1978-1982,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,42.09,83428,58930,24498,104.8,368.3,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,,,27.5,21300,,,,,,,,,,,,,,,,,,
1978-1982,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,28.3,15503,12610,2893,236.3,307.6,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,,,,570,457.2,,24.62,80.21,,,100,,,,,,,,,,,
1978-1982,China,Asia | Southern and Eastern Asia | East Asia,960000,11.03,1029247,802831,226416,107.2,198.2,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,,,,70000,49529,40966,46.77,70.76,,,100,,,,,,,,,,,
1978-1982,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,20.45,17899,7661,10238,148.5,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,,,10.55,,1120,,45.44,,,,100,,,,,,,,,,,
1978-1982,Japan,Asia | Southern and Eastern Asia | East Asia,37780,14.36,117709,27799,89910,311.6,9515,630.2,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.7998,1778,831,947,1.137,1436,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,,,0.25,518,,,,,,,,,,,,,,,,,,
1978-1982,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,9926,21.96,38666,15443,23223,389.5,2111,126.5,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,,,,2180,,,,,,,,,,,,,,,,,,
1978-1982,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,11.6,6945,6040,904.7,38.36,,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,,,,,,,,,,,,,,,,,,,,,,
1978-1982,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,3.45,3395,2956,438.7,14.34,,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,,,7.03,600,,,,,,,,,,,,,,,,,,
1978-1982,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,14.9,36099,27434,8665,53.35,,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,,,,10500,1040,1006,10.32,9.905,,,100,,,,,,,,,,,
1978-1982,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,37.22,49266,35818,13448,96.01,742.7,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,,,,58.04,12245,,,,,,,,,,2862,,,,,,,,
1978-1982,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,33169,19.84,56932,45795,11137,171.6,,604,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,,,,,9400,,,,,,,,,,,,,,,,,,
1978-1982,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,1.213,205.1,82,123.1,35.55,20791,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,,,0.045,,,,,,,,,,,,,,,,,,,
1978-1982,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,13.61,154506,118559,35947,80.85,613,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,,,,7.775,10886,4107,,15.8,37.73,,,100,,,,,,,,,,,
1978-1982,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,14.81,14544,8207,6337,43.97,1843,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,,,7.321,413.7,317.1,,6.474,76.65,,,100,,,,,,,,,,,
1978-1982,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,1.448,3396,2940,456,7.337,697.5,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,,,0.333,36,,,,,,,,,,,,,,,,,,
1978-1982,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,32.13,50068,30204,19864,166.9,741.8,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,,,,3126,1301,,13.5,41.62,,,100,,,,,,,,,,,
1978-1982,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,68,8.824,2520,0,2520,3706,6381,1.698,,,,0.6,0,0,0,0,0,0,,,0.6,0,,,,0.0581,,,,,,,,,,,,,,,,,,,
1978-1982,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,9.011,593.9,490.7,103.2,39.94,,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Bahrain,Asia | Middle East | Arabian Peninsula,69,5.797,449,55.9,393.1,650.7,7555,0.0573,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,,4.23,,,,,,,,,,,,,,,,,,
1983-1987,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.2245,1918,38,1880,107.6,11663,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,,,,,,,,,,,,,,,,,,
1983-1987,Oman,Asia | Middle East | Arabian Peninsula,30950,0.2262,1621,635,986,5.237,4819,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,0.0122,,53.59,,76.56,,,,100,,,,,,,,,,,
1983-1987,Qatar,Asia | Middle East | Arabian Peninsula,1161,0.9475,423.3,37.9,385.4,36.46,12867,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,1.386,14642,3805,10837,6.811,5853,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,0.5615,,,,,,,,,,,893.9,,,,,,,,
1983-1987,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.4545,1519,315,1204,18.17,23953,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,0.016,,,,,,,,,,,,,,,,,,,
1983-1987,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.801,10543,8531,2012,19.97,,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.0058,,,,,,,,,,,,,,,,,,,
1983-1987,Armenia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Azerbaijan,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Georgia,Asia | Middle East | Caucasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,9.472,51152,23039,28113,29.31,2620,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,17.28,15000,,,,,,,,,,6580,,,,,,,,
1983-1987,Iraq,Asia | Middle East | Near East,43832,12.5,16294,4880,11414,37.17,3474,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,151.8,5554,,,,,,,,,,,,,,,,,,
1983-1987,Israel,Asia | Middle East | Near East,2207,19.39,4216,420,3796,191,8415,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Jordan,Asia | Middle East | Near East,8878,4.111,2982,906,2076,33.59,2266,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,0.0066,85,,,,,,,,,,,,,,,,,,
1983-1987,Lebanon,Asia | Middle East | Near East,1045,29.09,2672,496,2176,255.7,,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,0.22,177.5,,,,,,,,,,,,,,,,,,
1983-1987,Occupied Palestinian Territory,Asia | Middle East | Near East,602,37.38,1879,641,1238,312.1,,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Syrian Arab Republic,Asia | Middle East | Near East,18518,30.4,11375,5880,5495,61.43,998.3,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,13.01,,,,,,,,,,,,,,,,,,,
1983-1987,Turkey,Asia | Middle East | Near East,78535,35.56,51169,22893,28276,65.15,1704,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,63.9,8500,,,,,,,,,,,,,,,,,,
1983-1987,Afghanistan,Asia | Central Asia,65286,12.32,11338,9403,1935,17.37,,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,2.009,,,,,,,,,,,,,,,,,,,
1983-1987,Kazakhstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Kyrgyzstan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Tajikistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Turkmenistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Uzbekistan,Asia | Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,64.09,98149,79850,18299,661.1,247.6,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,6.477,6933,2199,,23.11,31.72,,,100,55.34,44.64,2199,,,,,,,,
1983-1987,Bhutan,Asia | Southern and Eastern Asia | South Asia,4700,3.511,501,429.6,71.37,10.66,505.4,103.4,95,9.5,9.5,95,0,95,0,0,,0,95,9.5,95,0,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,India,Asia | Southern and Eastern Asia | South Asia,328726,51.63,817232,614592,202640,248.6,347.5,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,,139500,46605,42570,27.46,33.41,,,100,45.92,44.2,55636,130.7,,,,,,,
1983-1987,Maldives,Asia | Southern and Eastern Asia | South Asia,30,23.33,203.1,152.7,50.4,677,695.6,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,15.89,17472,16130,1342,118.7,169.3,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,,,0.0853,2178,,,,,,,,,,,,,,,,,,
1983-1987,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,39.78,98302,68087,30215,123.5,339.3,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,,,27.68,21300,,,,,,,,,,,,,,,,,,
1983-1987,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,28.88,16649,13553,3096,253.8,401.4,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,,,,570,517.3,,27.3,90.75,,,100,,,,,,,,,,,
1983-1987,China,Asia | Southern and Eastern Asia | East Asia,960000,13.34,1118196,832793,285403,116.5,242.4,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,,,,70000,49411,40157,38.57,70.59,,,100,78,18,,,,,,,,,
1983-1987,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,20.45,19335,8133,11202,160.4,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,,,10.55,,1270,,51.52,,,,100,,,,,,,,,,,
1983-1987,Japan,Asia | Southern and Eastern Asia | East Asia,37780,14.13,121022,27882,93140,320.3,20575,630.2,420,27,17,430,0,0,0,0,0,0,420,27,430,0,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Mongolia,Asia | Southern and Eastern Asia | East Asia,156412,0.8535,2033,890,1143,1.3,1486,377,32.7,6.1,4,34.8,0,26.4,0,0,0,0,32.7,6.1,34.8,0,,,,0.25,518,,,,,,,,,,,,,,,,,,
1983-1987,Republic of Korea,Asia | Southern and Eastern Asia | East Asia,9926,21.59,41588,13075,28513,419,3631,126.5,62.25,13.3,10.7,64.85,4.85,0,4.85,0,0,4.85,67.1,13.3,69.7,6.958,,,,,2143,,,,,,,,,,,,,,,,,,
1983-1987,Cambodia,Asia | Southern and Eastern Asia | Mainland Southeast Asia,18104,17.12,8228,7024,1204,45.45,100.2,344.7,116,17.6,13,120.6,355.5,471.5,355.5,0,0,355.5,471.5,17.6,476.1,74.67,,,,,,,,,,,,,,,,,,,,,,,
1983-1987,Lao People's Democratic Republic,Asia | Southern and Eastern Asia | Mainland Southeast Asia,23680,3.547,3895,3333,561.9,16.45,279.1,434.3,190.4,37.9,37.9,190.4,143.1,333.6,143.1,0,0,143.1,333.5,37.9,333.5,42.91,,,,7.03,600,,,,,,,,,,,,,,,,,,
1983-1987,Myanmar,Asia | Southern and Eastern Asia | Mainland Southeast Asia,67659,14.87,40005,30307,9698,59.13,,1415,992.1,453.7,443,1003,128.2,17.6,165,0,,165,1157,453.7,1168,14.13,,,,,10500,1057,1057,10.51,10.07,,,100,,,,,,,,,,,
1983-1987,Thailand,Asia | Southern and Eastern Asia | Mainland Southeast Asia,51312,39.93,53980,38523,15457,105.2,936.2,832.3,213.3,41.9,30.69,224.5,0,61.25,214.1,0,,214.1,427.4,41.9,438.6,48.81,,,,,12245,3472,,16.94,28.35,,,100,,,,,,,,,,,
1983-1987,Viet Nam,Asia | Southern and Eastern Asia | Mainland Southeast Asia,33035,19.33,63881,51178,12703,193.4,573.8,601.6,323,71.42,35,359.4,524.7,37.15,524.7,0,0,524.7,847.7,71.42,884.1,59.35,,,,,9400,,,,,,,,,,,,,,,,,,
1983-1987,Brunei Darussalam,Asia | Southern and Eastern Asia | Maritime Southeast Asia,577,1.213,236,85.7,150.3,40.9,11671,15.71,8.5,0.1,0.1,8.5,0,0,0,0,0,0,8.5,0.1,8.5,0,,,,0.045,,,,,,,,,,,,,,,,,,,
1983-1987,Indonesia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,191093,16.04,171729,124677,47052,89.87,442.1,5163,1973,457.4,411.7,2019,0,0,0,0,,0,1973,457.4,2019,0,,,,12.1,10886,4106,,13.4,37.72,,,100,,,,,,,2150,,,,
1983-1987,Malaysia,Asia | Southern and Eastern Asia | Maritime Southeast Asia,33080,17.94,16704,8778,7926,50.5,1927,951,566,64,50,580,0,0,0,0,0,0,566,64,580,0,,,,22.22,413.7,344.3,,5.803,83.22,,,100,,,,,,,,,,,
1983-1987,Papua New Guinea,Asia | Southern and Eastern Asia | Maritime Southeast Asia,46284,1.569,3865,3309,556.2,8.351,813.4,1454,801,211.6,211.6,801,0,0,0,0,,0,801,211.6,801,0,,,,0.333,36,,,,,,,,,,,,,,,,,,
1983-1987,Philippines,Asia | Southern and Eastern Asia | Maritime Southeast Asia,30000,32.73,57313,31325,25988,191,579.2,704.4,444,180,145,479,0,0,0,0,0,0,444,180,479,0,,,,,3126,1422,,14.48,45.49,,,100,,,,,,,,,,,
1983-1987,Singapore,Asia | Southern and Eastern Asia | Maritime Southeast Asia,68,4.412,2823,0,2823,4151,7403,1.698,,,,0.6,0,0,0,0,0,0,,,0.6,0,,,,0.0749,,,,,,,,,,,,,,,,,,,
1983-1987,Timor-Leste,Asia | Southern and Eastern Asia | Maritime Southeast Asia,1487,10.02,689.2,554,135.2,46.35,,22.3,8.129,0.886,0.8,8.215,0,0,0,0,0,0,8.129,0.886,8.215,0,,,,,,,,,,,,,,,,,,,,,,,
1988-1992,Bahrain,Asia | Middle East | Arabian Peninsula,71,7.042,522.8,60.7,462.1,736.3,9088,0.0589,0.004,0,0,0.004,0,0,0,0.112,0,0.112,0.004,0.112,0.116,96.55,,,,,4.23,,,,,,,,,,,,,,,,94.9,94.9,
1988-1992,Kuwait,Asia | Middle East | Arabian Peninsula,1782,0.2806,1909,57,1852,107.1,10403,2.156,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,100,,,,,25,,,,,,,,,,,,,,,,99,99,
1988-1992,Oman,Asia | Middle East | Arabian Peninsula,30950,0.2682,1980,615,1365,6.397,6289,38.69,1.05,1.3,0.95,1.4,0,,0,0,,0,1.05,1.3,1.4,0,,,,0.0382,,57.81,,69.65,,,,100,,,,,,,,,70,83.4,
1988-1992,Qatar,Asia | Middle East | Arabian Peninsula,1161,1.206,489.7,30.6,459.1,42.18,15614,0.8591,0,0.056,0,0.056,0,0,0,0.002,0,0.002,0,0.058,0.058,3.448,,,,,,5.706,5.706,40.76,,,,100,,,6.222,109,,,,,98.7,98.7,
1988-1992,Saudi Arabia,Asia | Middle East | Arabian Peninsula,214969,1.743,17399,3959,13440,8.094,7817,126.8,2.2,2.2,2,2.4,0,,0,0,0.394,0,2.2,2.2,2.4,0,,,,0.6184,,1608,1608,42.93,,,,100,3.17,95.64,1608,100,100,,,,92.3,92.3,
1988-1992,United Arab Emirates,Asia | Middle East | Arabian Peninsula,8360,0.8254,2019,434,1585,24.15,26864,6.521,0.15,0.12,0.12,0.15,0,0,0,0,0,0,0.15,0.12,0.15,0,,,,0.016,,,,,,,,,,,,,,,,,100,99.6,
1988-1992,Yemen,Asia | Middle East | Arabian Peninsula,52797,2.805,13245,10368,2877,25.09,488,88.17,2,1.5,1.4,2.1,0,,0,0,0,0,2,1.5,2.1,0,,,,0.4063,,,,,,,,,,,,,,,,,57.2,93.1,
1988-1992,Armenia,Asia | Middle East | Caucasus,2974,16.24,3450,1143,2307,116,368.9,16.71,3.948,4.311,1.4,6.859,0,5.28,0.91,0,,0.91,4.858,4.311,7.769,11.71,,,,,653.7,275.8,,57.1,42.19,,,100,,,,,,,20.58,,75.8,98.1,
1988-1992,Azerbaijan,Asia | Middle East | Caucasus,8660,23.26,7451,3492,3959,86.04,669.9,38.71,5.955,6.51,4.35,8.115,19.76,,26.56,0,,26.56,32.52,6.51,34.68,76.6,,,,,3200,1450,1340,72,45.31,,,100,,,,,,,,,50.3,85.4,
1988-1992,Georgia,Asia | Middle East | Caucasus,6970,16.2,5346,2429,2917,76.7,690.3,71.51,56.9,17.23,16,58.13,8.35,11.91,5.2,0,,5.2,62.1,17.23,63.33,8.211,,,,,725,,,,,,,,,,,,,,,,72.7,95.7,
1988-1992,Iran (Islamic Republic of),Asia | Middle East | Iran (Islamic Republic of),174515,10.48,58130,24514,33616,33.31,2150,397.9,97.3,49.3,18.1,128.5,7.77,18.67,8.545,0,0,8.545,105.8,49.3,137,6.773,,,,17.34,15000,,,,,,,,,,,,,,,,83.9,98.6,
1988-1992,Iraq,Asia | Middle East | Near East,43832,12.66,18469,5609,12860,42.14,9746,94.68,34,3.2,2,35.2,61.33,,54.58,0.08,,54.66,88.58,3.28,89.86,60.83,,,,151.8,5554,3525,1935,63.51,63.47,,,100,93.79,6.201,,,,1762,,,39.1,95.3,
1988-1992,Israel,Asia | Middle East | Near East,2207,19.57,4807,454,4353,217.8,13682,9.6,0.25,0.5,0,0.75,0.305,0.015,0.305,0.725,0.025,1.03,0.555,1.225,1.78,57.87,1.636,,,,,,,,,,,,,,,,,,,,100,100,
1988-1992,Jordan,Asia | Middle East | Near East,8878,3.714,3744,915,2829,42.17,1419,9.855,0.485,0.45,0.253,0.682,0.4,,0.165,0.27,,0.255,0.65,0.54,0.937,27.21,,,,0.1016,85,64.3,,19.5,75.65,,,100,39.7,54.6,68.91,,30,2.277,,,90.3,98.4,
1988-1992,Lebanon,Asia | Middle East | Near East,1045,29.28,2822,457,2365,270,1965,6.907,4.1,3.2,2.5,4.8,0,0.575,-0.297,0,0.28,-0.297,3.803,3.2,4.503,0.7854,2.08,,,0.22,177.5,,,,,,,,,,,,,,3,,,,
1988-1992,Occupied Palestinian Territory,Asia | Middle East | Near East,602,36.54,2287,730,1557,379.9,,2.42,0.072,0.74,0,0.812,0.015,0.017,0.015,0.01,,0.025,0.087,0.75,0.837,2.987,0.715,,,,,,,,,,,,,,,,,,,,86.7,100,
1988-1992,Syrian Arab Republic,Asia | Middle East | Near East,18518,29.99,13186,6678,6508,71.21,1005,46.67,4.288,4.844,2,7.132,28.52,31.73,8.34,11.13,0.34,9.67,12.63,6.174,16.8,72.36,20.6,,,13.52,,,,,,,,,,,825.7,,,60,,,75,96.8,
1988-1992,Turkey,Asia | Middle East | Near East,78535,35.05,55811,22033,33778,71.07,2831,465.7,186,69,28,227,1.8,60.12,-14.2,0,11,-15.4,171.8,67.8,211.6,1.518,112,,,133.7,8500,4071,,14.79,47.89,,,100,,,,,,,,,75.8,94.5,
1988-1992,Afghanistan,Asia | Central Asia,65286,12.3,13746,11138,2608,21.06,,213.5,37.5,10.65,1,47.15,10,42.22,18.18,0,,18.18,55.68,10.65,65.33,28.72,,,,2.009,,,2660,,,,,,,,,,,,,,16.2,43,
1988-1992,Kazakhstan,Asia | Central Asia,272490,12.92,16433,7420,9013,6.031,1516,681.2,56.5,33.85,26,64.35,72.04,40.33,44.06,0,,44.06,100.6,33.85,108.4,40.64,,,,,3768,,,,,,,,,,,,,,,,89.9,97.3,
1988-1992,Kyrgyzstan,Asia | Central Asia,19995,6.942,4477,2812,1665,22.39,517.4,106.6,46.46,13.69,11.22,48.93,0.558,41.81,-25.31,0,,-25.31,21.15,13.69,23.62,1.128,,,,,2247,,,,,,,,,,,,,,,,61.8,95.9,
1988-1992,Tajikistan,Asia | Central Asia,14255,6.91,5523,3837,1686,38.74,345.7,98.5,60.46,6,3,63.46,34.19,94.65,-41.55,0,,-41.55,18.91,6,21.91,17.34,,,,,1580,,,,,,,,,,,,,,,,,,
1988-1992,Turkmenistan,Asia | Central Asia,48810,3.176,3882,2139,1743,7.953,824.5,78.58,1,0.405,0,1.405,80.2,78.46,23.36,0,,23.36,24.36,0.405,24.77,97,,,,,2353,,,,,,,,,,,,,,,,,,
1988-1992,Uzbekistan,Asia | Central Asia,44740,10.85,21416,12914,8502,47.87,604.3,92.16,9.54,8.8,2,16.34,102.2,99.35,32.53,0,,32.53,42.07,8.8,48.87,80.07,,,,,4915,,,,,,,,,,,,,,,,85.3,97,
1988-1992,Bangladesh,Asia | Southern and Eastern Asia | South Asia,14846,60.28,110987,87815,23172,747.6,285.7,395.8,83.91,21.09,0,105,1122,0.057,1122,0.032,0.032,1122,1206,21.12,1227,91.44,,,,6.477,6933,3100,2738,34.64,44.71,,,100,41.29,58.23,3027,110.6,,100,,,66.6,81.5,
1988-1992,Bhutan,Asia | Southern and Eastern Asia | South Asia,4700,3.277,528.1,433.2,94.89,11.24,474.9,103.4,95,9.5,9.5,95,0,95,0,0,,0,95,9.5,95,0,,,,,,,,,,,,,,,,,,,,,67,97.2,
1988-1992,India,Asia | Southern and Eastern Asia | South Asia,328726,51.72,906461,671627,234834,275.7,323.2,3560,1404,432,390,1446,635.2,1385,464.9,0,0,464.9,1869,432,1911,30.52,,,,166,139500,,47430,,,,,,,,62470,131.7,,3300,5990,,66.6,89.6,
1988-1992,Maldives,Asia | Southern and Eastern Asia | South Asia,30,23.33,236,177.4,58.59,786.7,1207,0.5916,0,0.03,0,0.03,0,0,0,0,0,0,0,0.03,0.03,0,,,,0,,,,,,,,,,,,,,,,,90.8,100,
1988-1992,Nepal,Asia | Southern and Eastern Asia | South Asia,14718,16.07,19766,17940,1826,134.3,172.1,220.8,198.2,20,20,198.2,12,210.2,12,0,,12,210.2,20,210.2,5.709,,,,0.0853,2178,882.4,,37.31,40.51,,,100,,,,,,,,,65.2,96.1,
1988-1992,Pakistan,Asia | Southern and Eastern Asia | South Asia,79610,38.16,113616,77165,36451,142.7,428.1,393.3,47.4,55,47.4,55,265.1,10.72,191.8,0,,191.8,239.2,55,246.8,77.71,,,,27.7,21300,15819,,52.07,74.27,1231,,92.78,69.21,30.79,,,,,2392,,82.5,96.3,
1988-1992,Sri Lanka,Asia | Southern and Eastern Asia | South Asia,6561,29.04,17742,14454,3288,270.4,546.9,112.3,52,7.8,7,52.8,0,0,0,0,0,0,52,7.8,52.8,0,,,,,570,,,,,,,,,,,,,,,,65.6,92.7,
1988-1992,China,Asia | Southern and Eastern Asia | East Asia,960000,13.71,1215354,857079,358275,126.6,349.7,6192,2712,828.8,727.9,2813,17.17,718.8,27.32,0,0,27.32,2739,828.8,2840,0.9619,,,,,70000,50429,44418,38.32,72.04,,,100,,,,,,,,,59,97.1,
1988-1992,Democratic People's Republic of Korea,Asia | Southern and Eastern Asia | East Asia,12054,20.57,20838,8610,12228,172.9,,127,66,13,12,67,0,4.85,10.15,0,0,10.15,76.15,13,77.15,13.16,,,,10.55,,1420,,57.26,,,,100,85.92,14.08,,,,,,,100,99.9,
